model,regime,axis,n,mae,rmse,wape
Naive,overall,overall,43802,34.77,56.2,0.2901
Naive,calm,macro,5831,13.75,21.45,0.2195
Naive,crisis,macro,13848,57.15,81.64,0.2826
Naive,post_crisis,macro,24123,27.01,42.38,0.3125
Naive,renewable_scarcity,flag,3918,32.47,58.82,0.1787
Naive,high_wind,flag,12644,44.15,65.43,0.5837
Naive,negative_price,flag,1542,43.83,60.55,3.7935
Naive,price_spike,flag,2595,50.58,81.08,0.1867
Naive,normal,flag,24675,29.56,49.04,0.2366
Lasso,overall,overall,43802,24.23,38.4,0.2021
Lasso,calm,macro,5831,9.56,13.24,0.1527
Lasso,crisis,macro,13848,40.86,57.31,0.202
Lasso,post_crisis,macro,24123,18.23,27.38,0.211
Lasso,renewable_scarcity,flag,3918,28.0,50.37,0.1541
Lasso,high_wind,flag,12644,26.74,39.55,0.3535
Lasso,negative_price,flag,1542,22.56,34.46,1.9525
Lasso,price_spike,flag,2595,45.47,73.15,0.1679
Lasso,normal,flag,24675,21.17,32.82,0.1695
LightGBM,overall,overall,43802,15.4,26.59,0.1285
LightGBM,calm,macro,5831,6.25,8.91,0.0997
LightGBM,crisis,macro,13848,25.39,36.6,0.1255
LightGBM,post_crisis,macro,24123,11.88,22.27,0.1374
LightGBM,renewable_scarcity,flag,3918,21.77,45.02,0.1198
LightGBM,high_wind,flag,12644,14.14,20.46,0.1869
LightGBM,negative_price,flag,1542,13.04,27.41,1.1288
LightGBM,price_spike,flag,2595,38.19,63.51,0.141
LightGBM,normal,flag,24675,13.78,22.39,0.1104
ARIMAX,overall,overall,43802,22.87,35.74,0.1908
ARIMAX,calm,macro,5831,8.72,11.76,0.1392
ARIMAX,crisis,macro,13848,32.38,45.79,0.1601
ARIMAX,post_crisis,macro,24123,20.82,32.89,0.241
ARIMAX,renewable_scarcity,flag,3918,28.4,56.43,0.1563
ARIMAX,high_wind,flag,12644,22.79,30.92,0.3013
ARIMAX,negative_price,flag,1542,23.59,35.22,2.0416
ARIMAX,price_spike,flag,2595,52.41,82.22,0.1935
ARIMAX,normal,flag,24675,20.4,30.31,0.1633
